Product Name,Price,Product Image,Description,Reviews,Product Link
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)","₹15,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/3/-original-imah37gwn2xbvzhy.jpeg?q=70,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD Display32MP + 2MP | 8MP Front Camera5100 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.1,https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-256-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGJCZZGT5&lid=LSTMOBH2Q4PGJCZZGT5FYFH80&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_KRLv6Evkrs9LBbQyRRdabm0xd1JHGqCIKBQwTAfrFMlbzOszdJefpgFatlpTYJ6xX0xunWT7jSwdgz4Wfx_SU_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"realme 13 Pro 5G (Monet Gold, 128 GB)","₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/d/x/-original-imah38dbgt2t8jez.jpeg?q=70,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 32MP Front Camera5200 mAh BatterySnapdragon 7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,https://www.flipkart.com/realme-13-pro-5g-monet-gold-128-gb/p/itmf7360eb52d883?pid=MOBH2YYDZJZA3ZXH&lid=LSTMOBH2YYDZJZA3ZXHNAHFXG&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_KRLv6Evkrs9LBbQyRRdabm0xd1JHGqCIKBQwTAfrFMkMY8gotpvOf8xsOjok3bXaoFtBWZPmM-2t9A70PACh7vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹39,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/o/j/-original-imagztn8vv8htmyx.jpeg?q=70,8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-128-gb/p/itme751066521899?pid=MOBGVTA2836DQWTT&lid=LSTMOBGVTA2836DQWTTISGIME&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGVTA2836DQWTT.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"SAMSUNG Galaxy S23 FE (Mint, 128 GB)","₹39,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/c/s/-original-imagztn7sycc4h84.jpeg?q=70,8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,https://www.flipkart.com/samsung-galaxy-s23-fe-mint-128-gb/p/itmfde87b854d383?pid=MOBGVTA2GRVRXVFR&lid=LSTMOBGVTA2GRVRXVFRPT6FPX&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGVTA2GRVRXVFR.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹39,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/c/8/-original-imagztn77hdgmeka.jpeg?q=70,8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4,https://www.flipkart.com/samsung-galaxy-s23-fe-purple-128-gb/p/itm03da6b42ff68e?pid=MOBGVTA24G7GHE6M&lid=LSTMOBGVTA24G7GHE6MN4I8LB&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGVTA24G7GHE6M.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"Nothing Phone (2) (Dark Grey, 256 GB)","₹36,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/m/b/-original-imagrdefbw6bhbjr.jpeg?q=70,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty,4.2,https://www.flipkart.com/nothing-phone-2-dark-grey-256-gb/p/itmc1490711c3eb9?pid=MOBGZSDKU5CGE8FX&lid=LSTMOBGZSDKU5CGE8FXD4MGTF&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGZSDKU5CGE8FX.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"itel P55T (Astral Gold, 128 GB)","₹7,099",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/8/2/p55t-p665l-itel-original-imahyghnrhqmmgfb.jpeg?q=70,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP Rear Camera | 8MP Front Camera6000 mAh Battery1 Year Manufacturer Warranty,4.1,https://www.flipkart.com/itel-p55t-astral-gold-128-gb/p/itm9149ca795169f?pid=MOBGXZHNQSGPQBBS&lid=LSTMOBGXZHNQSGPQBBSXYHVKU&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=en_KRLv6Evkrs9LBbQyRRdabm0xd1JHGqCIKBQwTAfrFMn8EeRqhoyILGVZX7aCJIFkZ3qbPD7qkTBHGPtpYf9wAQ%3D%3D&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"itel P55 (Moonlit Black, 128 GB)","₹7,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/u/b/p55-a666l-itel-original-imah28n7znedzdma.jpeg?q=70,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.66 cm (6.56 inch) HD Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year Manufacturer Warranty,4.3,https://www.flipkart.com/itel-p55-moonlit-black-128-gb/p/itm573e1c7afa483?pid=MOBGXU6S7Z8K9YHR&lid=LSTMOBGXU6S7Z8K9YHRP8TUIF&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_KRLv6Evkrs9LBbQyRRdabm0xd1JHGqCIKBQwTAfrFMmWBdXJVr-ndN8eyU_eLbojiUYfG7WilxcJMZ0UnO2mHQ%3D%3D&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹44,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/c/s/-original-imagztn7sycc4h84.jpeg?q=70,8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6,https://www.flipkart.com/samsung-galaxy-s23-fe-mint-256-gb/p/itmdb72279972171?pid=MOBGVTA2R8ZH4G3C&lid=LSTMOBGVTA2R8ZH4G3C8XDOZH&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGVTA2R8ZH4G3C.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"Apple iPhone 12 (Blue, 64 GB)","₹38,999",https://rukminim2.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70,"64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.4,https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NMWAWOJ&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBFWBYZ8DNJNY7N.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
